day,CLF17,CLG17,CLH17,CLJ17,CLK17,CLM17,CLN17,CLQ17,CLU17,CLZ17,CSZ16,CSF17,CSG17,CSH17,CSJ17,CSK17,CSM17,CSN17,CSQ17,CSU17,CSV17,CSX17,CSZ17,WBSF17,WBSG17,WBSH17,WBSJ17,WBSK17,WBSM17,WBSN17,WBSQ17,WBSU17,WBSZ17,WSPZ16,WSPF17,WSPG17,WSPH17,WSPJ17,WSPK17,WSPM17,0
26,-0.00330628,-0.0421663,-0.0249674,0.0167053,0.0181251,-0.00723439,0.00170908,-0.0218156,-0.0352075,-0.0354952,-0.00204724,-0.00220119,0.00925299,0.0282832,-0.0138944,0.038623,0.024625,-0.000464145,0.00320376,-0.00536251,-0.0177169,-0.000632911,-2.66E-19,-0.00142799,-0.000264061,-0.00880319,0.019729,-0.000628667,-0.00168812,0.00411777,-0.00239651,0.00764693,-0.000404285,-0.000415628,-0.0126689,-0.0131489,-0.00334539,0.00372732,0.010333,-0.0121942,
27,-0.0527744,0.0150219,-0.0128034,-0.00593336,-0.0262251,0.0254008,-0.00436019,-0.0208633,-0.0189909,-0.0486143,0.00899479,0.00772116,-0.00648479,-0.00596269,-0.0159018,-0.00141471,0.0111427,0.00859067,-0.00723866,-0.00603839,-0.0110678,0.00738864,-0.0165198,-0.00551583,0.00977285,0.0738,0.00559441,0.00943594,-0.0118368,0.00492106,-0.0155056,-0.00455334,0.000202224,0.0043659,-0.0353579,-0.0152358,-0.00949346,-0.0050816,0.000911993,-0.00991558,
28,-0.0308819,0.0028777,0.0205188,0.013315,-0.0347946,0.0377665,-0.0329398,-0.0793534,0.0286582,0.0265043,5.96E-18,0.0151051,0.00157551,0.0112229,0.000204541,0.0129528,0.00885912,-0.0126611,-0.00343127,-0.019527,0.0026943,1.29E-17,0.00358343,-0.00472473,0.0146482,-0.0139819,-0.000231803,0.000623182,-0.00256684,-0.00244848,-0.00266193,-0.00631671,0.00101092,-0.00703788,-0.0244359,0.0065298,0.00660642,-0.0149953,0.00924178,0.0280738,
29,0.00131406,-0.00881328,-0.0174507,-0.0194835,-0.00814664,0.0146742,-0.0224454,0.00505454,-0.0424354,-0.041405,-0.000312793,0.0360147,-0.0238202,0.00210486,-0.000817996,0.0047952,0.0284858,-0.013523,-0.00086077,-0.0017703,-0.006821,-0.00419111,-0.0107119,0.00288958,-0.00824955,0.038546,-0.017853,0.00643554,-0.000857817,0.00490898,0.00422598,0.00153441,0.00141386,-0.00521159,-0.020907,-0.00467563,-0.00251641,0.0179491,-0.0118656,0.0206173,
30,0.023622,-0.0473532,0.015251,0.0221811,0.0412731,-0.00887003,-0.00523666,-0.0132345,-0.0204239,0.0249939,0.0373905,0.00707744,0.037523,0.0160397,-0.0182153,-0.0137204,0.0172845,-0.00378161,0.000430756,0.0186211,0.00978148,0.00757576,0.00451162,0.00349866,0.00987783,-0.203077,0.00991501,0.00825083,0.0133076,0.000203542,-0.0230343,-0.000218866,0.00282372,0.00167645,0.0117599,-0.028714,0.00102274,-0.0167184,-0.00342622,0.00375652,
31,-0.0570513,-0.0039071,0.0300437,0.028255,-0.0023664,0.00272374,-0.0281433,-0.0504292,-0.0139654,-0.0416667,-0.0087468,1.32E-16,0.0250721,0.00845706,0.000625391,0.0171371,0.0141249,-0.000948992,-0.00236814,-0.009358,0.0136026,0.00918964,0.00561419,0.00430681,0.0015444,-0.0528475,-0.0158953,0.00143208,-0.00550731,-0.000814001,-0.0131489,0.00634851,-0.00301689,0.00669456,-0.0474103,-0.0127562,0.0147464,-0.00405141,-0.00880783,-0.00362789,
32,0.0112169,0.0564393,-0.00387668,0.0015388,-0.00395335,-0.00310438,0.02125,0.0313559,0.00877718,0.0373024,0.0167351,-0.0171558,-0.0350649,0.00465896,0.00708333,0.0344896,0.00242229,-0.00071242,0.00366854,-0.00241652,-0.00488003,0.0084851,0.0080393,-0.00449255,0.00642508,0.0522293,0.015677,0.00633299,0.00809372,-0.00814664,-0.0519182,-0.00913639,0.00443817,-0.00436409,-0.0172322,0.0135946,0.00164452,0.00736888,0.0101414,0.0138362,
33,0.00907563,-0.0459983,0.00759822,0.0149254,-0.0383013,-0.0101207,-0.0285598,0.0610792,-0.0142377,-0.0204811,0.0227443,-0.0134595,0.00785105,0.0129846,0.0239967,-9.09E-17,-0.0293999,-0.00641635,-0.00193507,-0.00396388,-0.00653862,-0.00082085,-0.00819672,-0.0102564,-0.00689479,0.0697337,0.0212816,0.000406009,0.000422565,0.000410678,-0.0164769,-0.00373216,0.00401687,-0.0033396,0.00348508,-0.0192726,0.0131345,0.0103601,-0.00676935,-0.00661576,
34,-0.0519654,0.0527568,-0.0080927,-0.0218426,0.0231118,-0.0393236,-0.0323394,0.124161,-0.0573721,0.0950644,-0.00365764,0.0345342,0.000222568,-0.0322285,0.0040404,-0.0502012,-0.00767635,0.0155465,-0.00129255,-0.00950696,-0.0115179,-0.000821524,0.00960465,0.00621762,-0.0107997,-0.0484382,-0.0256469,-0.00852273,-0.00211193,-0.000615764,-5.39E-17,-0.00220361,-0.0020004,0.00418848,-0.0137834,0.026058,0.00539075,0.00596233,-0.00783616,0.00692621,
35,-0.0671117,0.0032861,0.0196551,0.0159186,-0.0127067,0.00511666,-0.0334201,0.00275545,0.0515003,0.00732682,-0.0152717,0.00576963,-0.0104584,-0.0113529,0.00583501,-0.0104902,0.00940832,0.00541686,-0.0069025,-0.0125,0.00457761,-0.0113052,-0.00685841,0.00576725,0.0122173,-0.00784967,-0.0223267,-3.67E-18,-0.00148148,0.00369686,-0.0189702,-0.000662544,-0.00741632,0.00729927,-0.0473203,-0.00408261,-0.00832237,-0.000814147,0.00749983,0.00389282,
36,0.112241,-0.0219038,0.0316421,-0.00152339,0.00919305,-0.0252494,0.0161652,0.0641172,0.0263105,-0.0251267,-0.0180435,0.0170047,-0.00787047,0.0197129,0.00120024,0.00632008,-0.0091135,-0.00585617,-0.00651607,-0.00135624,-0.0126346,0.00602911,0.000891067,0.00696293,-0.00564972,-0.00863102,-0.000240385,-0.027016,-0.00360322,-0.00225087,-0.00803616,-0.000441989,0.00363489,-0.000621118,0.0367333,-0.00783699,0.00769562,0.00322665,-0.0156785,-0.0124238,
37,0.0900779,-0.0290917,0.0104001,0.0122058,0.00607287,-0.035095,-0.012152,-0.0159243,0.00552159,0.0269048,0.00622627,-0.0173247,-0.0113327,-0.0185811,-0.00939061,0.00830632,-0.0108696,-0.00895382,0.0236117,-0.00294251,0.00125865,4.51E-18,0.00489651,0.00854179,0.0072314,-0.00943168,0.0156288,0.0122003,0.00170177,-0.00246103,0.0336709,0.00331638,0.00160966,-0.0045577,0.109415,-0.0116661,0.0127061,0.00269647,0.00716102,0.0105215,
38,-0.0574713,0.0299634,-0.0118632,0.0243325,-0.0028169,0.0246807,-0.023261,-0.0907501,0.0127476,-0.0310436,0.0226381,0.00123001,-0.0185695,0.00726716,-0.0100847,-0.0142656,-0.00211327,0.00618165,0.00341734,-0.00249716,-0.00586633,-0.00309981,-0.000664452,-2.14E-17,0.00923077,0.0217285,0.00757576,-0.00831255,-0.0010618,-0.00349507,-0.0161646,0.00639048,0.00341503,0.00416233,-0.0606608,0.0121726,0.0197952,-0.00959046,0.00478437,-0.0118832,
39,0.0365854,-0.030766,-0.0162429,0.00777801,-0.0157385,-0.0357067,-0.00068697,0.013949,0.0133617,0.0672574,0.0087072,-0.0339885,0.00560617,0.0182267,0.00814996,2.95E-17,0.00889454,0.00307183,0.00702427,-0.000910332,0.00231823,-0.00601161,0.00620567,0.000201654,-0.00482724,-0.0210275,0.0056391,0.000419111,-0.00701531,0.00226945,-0.012696,0.0162032,0.0038038,0.00124352,0.0346413,-0.00516278,-0.0143431,0.00157027,-0.00165333,-0.010079,
40,0.027027,-0.0155474,0.0303302,-0.00938673,-0.00615006,0.0810692,-0.0171861,-0.0170778,-0.0110835,0.0249095,-0.00629115,0.0216193,0.0448316,0.00410218,0.0181892,-0.00815328,0.0121746,0.00706714,0.01078,0.0129841,0.00378469,0.00291971,0.000440529,0.0141129,-0.00714833,0.0139126,-0.00794393,-0.00942606,0.00535217,0.00164677,1.11E-17,0.00711054,-0.00498604,-0.00248396,0.0594192,0.00537273,0.00950718,0.0155474,0.0113606,0.0296579,
41,0.028483,-0.00965124,-0.000870928,0.00589598,-0.0179455,0.0577625,0.0359058,0.00579151,-0.053913,-0.0174491,-0.0200236,-0.0224066,-0.0195643,-0.00631383,-0.00615324,0.0238389,-0.0138946,-0.00888889,-0.0127562,0.00899483,-0.000628404,0.0062383,-0.001321,0.00198807,0.00128568,-0.00481464,0.00518135,-0.00549799,-0.000425894,0.00184957,-0.0209279,-0.00470689,0.00180397,0.00124507,0.00555989,-0.0041902,0.0191556,0.00260517,0.00553463,-0.00569331,
42,0.0120409,0.0239203,0.0151674,-0.0334938,-0.026255,-0.0272083,0.0630205,-0.0383877,0.0216503,0.0363636,-0.0282452,-0.00912564,-0.0226757,-0.0140161,-1.61E-17,0.027499,0.0100946,-0.00165211,-0.00338911,-0.0160464,0.0018864,0.00268651,-0.00352734,-0.00257937,-0.00102722,-0.00483793,0.000468604,0.0102063,-0.00255646,-0.00430769,-0.0378573,0.00558899,0.00640256,0.00165803,0.0234746,0.0140261,0.0111265,0.00400988,-0.00605784,0.0134107,
43,-0.0594884,-0.0385031,-0.0127082,0.0101798,0.0319241,0.0017727,-0.00529325,0.0174651,-0.0321871,-0.00571195,0.0106679,-0.00514029,-0.000464037,0.0155421,-0.00579189,-0.0125024,0.0164481,0.00189125,-0.0116897,-6.80E-18,-0.00543933,0.000412201,0.0150442,-0.00437637,0.00154242,-0.0116675,0.00749415,0.0046306,0.00256301,-0.00370828,-0.0513919,0.00619923,-0.00218688,0.00144838,-0.0176287,-0.0186433,0.019397,0.00984088,0.00360443,0.0210393,
44,-0.0550285,0.00179978,-0.018438,-0.000428816,-0.0194398,-0.00629178,-0.0817369,-0.01128,-0.0262342,0.00287238,-0.00397736,0.000645856,-0.0139276,0.00653229,-0.00281237,-0.00395648,-0.00757886,-0.00849457,-0.0027957,-0.00294451,0.00315524,0.00494438,0.00152572,-0.000599401,0.00795688,0.0204132,-0.0146444,-0.00419024,0.00426076,-0.00206782,0.020316,0.00297429,-0.00159394,-0.000826446,-0.0246985,-0.00821179,-0.0829115,-0.00208821,-0.00564843,0.00371341,
45,0.0803213,0.0833146,0.013468,-0.0169455,0.0319761,-0.0298773,-0.0452017,0.0210813,0.020577,-0.0239362,-0.0310244,-0.0258176,0.00823917,0.00426479,0.0124899,0.0182721,-0.00887513,-0.0052356,0.00452879,-0.00249886,0.00104844,-0.00389504,-0.000652884,0.0029988,0.00585689,-0.00650759,0.00283086,-0.0031559,-6.02E-17,0.00663075,0.00801991,0.00804914,0.000997805,-0.000206782,0.06697,0.041955,-0.00817955,0.0118263,0.00242981,0.0085963,
46,-0.0173482,0.0275705,0.00332226,-0.00240017,0.00619707,-0.0316133,0.0169944,-0.0242895,0.0760757,0.0419199,-0.0085592,0.00265018,0.024282,0.0177253,0.022881,0.00624147,0.0156185,-0.00311005,0.00257621,-0.0184468,0.000418936,-0.00267545,-0.00740418,-0.000797289,-7.46E-18,0.016982,-0.00446954,0.0067539,0.00296988,-0.00288184,0.0337449,0.00987602,-0.00239234,0.00475698,0.00176154,0.0422226,0.00465989,-0.00172344,0.0201448,-0.00478297,
47,-0.0261665,0.0702038,0.00801673,0.0286527,0.0231985,-0.0113732,0.044402,-0.0151855,0.0351555,0.003621,0.0011191,0.00132159,0.0029633,-0.011611,-0.013227,-0.0108548,0.0135329,0.000239981,-0.00149893,-0.0201856,0.00041876,-0.00330169,-0.00614305,-0.00279274,0.00936709,0.0131202,-0.00543478,-0.00440252,0.00803723,-0.00206441,-0.0238854,-0.0145651,-6.35E-17,0.000411692,-0.0198982,0.0506401,-0.000567272,0.00430033,0.0180773,-0.0183204,
48,-0.0388475,-0.0867107,0.0352697,0.0102063,-0.0234751,-0.00489987,0.0176,-0.0508089,-0.0151148,-0.0416917,-0.0124561,0.0360757,-0.000454545,0.0176211,0.00887049,-0.0101901,0.000202306,0.00167946,-0.00428908,0.00544637,0.00397656,-0.00124224,-0.00220751,0.00520104,-0.00225734,0.0108312,-0.00831551,-0.00210571,-0.00503567,0.00227555,-0.0062534,0.0103463,-0.00419664,-0.00226337,-0.011898,-0.0432711,0.0184301,0.0121581,0.00637083,-0.00390179,
49,-0.0589424,0.0418989,0.00300601,-0.0105241,0.0460242,0.000428174,0.017071,-0.0428762,0.00928382,0.0261452,-0.00970246,0.00127389,0.0131878,0.00595238,0.000976944,-0.00296971,0.0163835,0.00239521,-0.00603058,-0.000942063,0.0195956,0.00456053,-0.0132743,-0.00159204,-0.0125691,-0.00861868,0.00694777,-0.00590842,-0.00611556,-0.00804954,-0.022435,-0.00104493,-9.88E-18,0.00577439,-0.0683295,0.0222461,-0.0171131,-0.00213068,-0.000438748,0.00949706,
50,-0.0175376,0.0239699,-0.001998,0.00638162,-0.00333923,-0.0246095,-0.0253975,-0.0545353,0.0411113,-0.0216062,-0.0272698,0.00593723,0.0141382,0.0105792,0.00527035,-0.0129071,-0.00378109,0.000716846,-0.00411701,-0.0132013,0.00102229,-0.00392076,-0.000896861,0.00239187,-0.000254582,-0.0056391,-0.00309303,0.0101889,-0.000424358,-0.00166459,0.0207109,9.80E-17,-0.00401365,0.00471601,2.90E-17,0.0183842,0.0100063,0.00145443,0.00595705,0.0135808,
51,-0.045173,0.0226349,0.00717384,-0.0306489,0.0208908,-0.0168934,0.0652617,0.103885,0.000721241,-0.000208333,-0.032231,-0.00379427,0.00575349,0.00780696,-0.0120388,-0.0183062,-0.00019976,-0.0121777,0.00130548,0.00382226,0.00163399,0.00103584,0.00493716,-0.0125273,0.0104405,-0.0340265,0.00405728,-0.00357218,-0.00764169,-0.00270946,-0.0126131,-0.0106695,0.0022164,-2.30E-16,0.00430813,0.0183786,-0.00515175,-0.00537668,-0.00822814,-0.0210192,
